FakeID,lid,Count
1,4a91aa4ef964a5203c1b20e3,11
2,4b451d01f964a5201c0526e3,6
3,52f7c75e498e91b62d809bcf,13
4,4b9306c3f964a520c02f34e3,14
5,4a2aac37f964a52034961fe3,59
6,4b06c066f964a52097ef22e3,26
7,4a090f11f964a52032741fe3,40
8,4b30fceef964a520bdfd24e3,10
9,4b071fb3f964a520b6f722e3,12
10,4b2d52dcf964a5201ed424e3,3
11,40fb0f00f964a520f90a1fe3,7
12,4f71df72e4b072f6770b2327,20
13,4a02db83f964a52070711fe3,15
14,4a3d97f7f964a5207ea21fe3,11
15,53da9a75498e89c22bab12ed,9
16,4af4398ff964a520b4f021e3,12
17,51b8f3c3498e422bb9e8fefd,3
18,4f6b838f7bebf48a25686e26,6
19,4b18727ff964a520d8d223e3,23
20,4af1bd0af964a520a6e221e3,3
21,40b28c80f964a5204bff1ee3,64
22,4acb3519f964a52048c320e3,11
23,4b32cfc5f964a5205d1425e3,84
24,4a595fc0f964a5204eb91fe3,6
25,4a35674cf964a520f49c1fe3,7
26,4ae5071af964a52016a021e3,15
27,4b649ee2f964a520e1c22ae3,3
28,4aba1fdbf964a5206b8020e3,5
29,4a68e24af964a52031cb1fe3,9
30,4ac5597ef964a520a9b120e3,7
31,4b47f326f964a520dd4426e3,3
32,4b2bfbf7f964a52009bf24e3,7
33,4ff07d7eebca4f7ec45afaaa,3
34,4af0bbc3f964a520aede21e3,3
35,4bd0be8041b9ef3baab7fae5,4
36,4ac20101f964a520c09720e3,9
37,4abbd285f964a5201a8520e3,9
38,40b28c80f964a52008fd1ee3,4
39,4bc9e614fb84c9b666d61b3e,3
40,51f468be498e2c7ba8b1a563,6
41,4e2a27bdcc3f93e196e46670,15
42,4b2e8bf4f964a52031e224e3,14
43,4c5f0266857ca5934a24d1cb,3
44,4b8c3a1ef964a5204dc532e3,3
45,4d78f29510936dcb40224f89,7
46,4b60d577f964a52061fc29e3,10
47,4a14edaff964a52089781fe3,35
48,40b28c80f964a520d1fb1ee3,28
49,40b28c80f964a52025ff1ee3,8
50,4b4a88b9f964a520228a26e3,17
51,4ea1804030f8b9d5abef7a14,17
52,4a74ca32f964a5209bdf1fe3,12
53,4d2506553574a14307544ad1,4
54,49e51497f964a52091631fe3,11
55,4de16b3c63655ed7e3fc4de1,10
56,4ad3bfc1f964a52017e620e3,6
57,4afc87e8f964a520962322e3,4
58,4baeb3eaf964a52063d03be3,37
59,4f9b345be4b0609167f44b5e,4
60,4bcf993877b29c7466798982,16
61,4abd7a47f964a520918a20e3,20
62,4b1ea40ef964a5202b1d24e3,4
63,4a73d488f964a52082dd1fe3,3
64,4b5213c0f964a520056627e3,3
65,4e1e83081838e9f93a42be64,5
66,4b48e977f964a520095d26e3,39
67,4c51b5950ef3a5939ae7757c,3
68,4ae8d210f964a52099b221e3,9
69,4101a680f964a520590b1fe3,4
70,4f9f0d4be4b0d296c966ee6e,4
71,4d8d4e7f788c548148061ffd,4
72,49dcd38ff964a520a95f1fe3,13
73,4a313fcbf964a520a1991fe3,29
74,4af5d66af964a52092fd21e3,7
75,4a9afc7ff964a520e73320e3,40
76,4b96b266f964a5209ade34e3,3
77,4a4570f4f964a5202da81fe3,9
